tconst	parentTconst	seasonNumber	episodeNumber
tt0066254	tt0066705	1	0
tt0066257	tt0797756	1	7
tt0066278	tt0212699	6	1
tt0066280	tt0958966	2	3
tt0066281	tt0165592	1	16
tt0066293	tt0058853	9	15
tt0066305	tt0165593	5	8
tt0066313	tt0165593	6	2
tt0066326	tt0065343	1	0
tt0066332	tt0066708	1	0
tt0066340	tt0797756	1	9
tt0066347	tt0058853	9	13
tt0066353	tt0165593	5	6
tt0066394	tt0058853	9	23
tt0066439	tt0806910	1	2
tt0066440	tt0806910	1	1
tt0066467	tt1685416	1	12
tt0066504	tt0165593	6	3
tt0066510	tt1157603	1	6
tt0066521	tt0055701	6	15
tt0066525	tt0958966	2	5
tt0066529	tt0958966	2	9
tt0066570	tt0165593	6	7
tt0066591	tt0212699	6	2
tt0066744	tt0165593	6	5
tt0066755	tt0165592	1	11
tt0066768	tt0212699	6	33
tt0066788	tt0212699	6	20
tt0066810	tt0068045	1	0
tt0066874	tt0212699	6	14
tt0066884	tt0165593	6	6
tt0066910	tt0165593	7	4
tt0066912	tt0058836	4	9
tt0066931	tt1466074	1	3
tt0066932	tt1466074	1	1
tt0066934	tt1466074	1	4
tt0066964	tt6074004	1	2
tt0066978	tt0058836	4	4
tt0066979	tt0927036	1	1
tt0067007	tt0165593	6	8
tt0067046	tt0068067	1	0
tt0067070	tt0165592	2	3
tt0067071	tt0165592	1	23
tt0067081	tt0212699	6	15
tt0067098	tt0935096	\N	\N
tt0067106	tt0797756	1	11
tt0067114	tt0165592	1	18
tt0067130	tt0212699	7	6
tt0067194	tt0068077	1	1
tt0067196	tt0165592	1	13
tt0067207	tt0159876	1	10
tt0067265	tt0212699	7	11
tt0067267	tt0065349	2	12
tt0067272	tt0212699	6	28
tt0067348	tt0212699	5	30
tt0067363	tt0065349	2	11
tt0067387	tt0165592	1	22
tt0067426	tt0165592	2	6
tt0067428	tt0165593	7	1
tt0067442	tt0806910	1	12
tt0067509	tt0066693	1	0
tt0067518	tt0165592	2	4
tt0067529	tt0066685	1	0
tt0067536	tt0165592	1	20
tt0067542	tt0066696	1	0
tt0067552	tt0297621	3	22
tt0067586	tt0165593	6	9
tt0067596	tt0806901	1	1
tt0067611	tt0297621	3	16
tt0067612	tt0061266	5	1
tt0067623	tt0212699	6	19
tt0067653	tt0165593	7	2
tt0067675	tt0806910	1	11
tt0067687	tt0212699	6	30
tt0067743	tt2162303	\N	\N
tt0067762	tt0165592	2	7
tt0067826	tt0165593	7	3
tt0067829	tt0806910	1	10
tt0067830	tt0806910	1	8
tt0067831	tt0806910	1	6
tt0067832	tt0806910	1	5
tt0067833	tt0806910	1	3
tt0067834	tt0806910	1	129
tt0067841	tt0212699	6	16
tt0067860	tt0797756	1	10
tt0067875	tt0165592	2	1
tt0067877	tt0165593	7	9
tt0067905	tt0058836	4	10
tt0067910	tt1157603	1	7
tt0067978	tt0165592	1	19
tt0068175	tt0212699	7	20
tt0068220	tt0212699	8	5
tt0068247	tt0068527	1	5
tt0068253	tt0068044	1	0
tt0068254	tt0165592	3	8
tt0068265	tt0212699	7	33
tt0068299	tt0849411	\N	\N
tt0068362	tt0212699	8	17
tt0068395	tt1466074	1	7
tt0068396	tt1466074	2	4
tt0068397	tt1466074	1	2
tt0068398	tt1466074	2	1
tt0068399	tt1466074	1	5
tt0068400	tt1466074	1	6
tt0068401	tt1466074	2	2
tt0068402	tt1466074	2	3
tt0068405	tt0068527	1	4
tt0068410	tt0068060	1	1
tt0068422	tt0165592	2	17
tt0068474	tt0068064	1	0
tt0068512	tt2162303	\N	\N
tt0068525	tt0068527	1	3
tt0068601	tt0297628	1	4
tt0068630	tt0165592	3	7
tt0068651	tt10303278	\N	\N
tt0068689	tt0165593	8	2
tt0068712	tt0068527	1	2
tt0068736	tt0797756	1	12
tt0068770	tt10282668	\N	\N
tt0068788	tt0165592	3	9
tt0068799	tt0797756	1	15
tt0068804	tt0165593	8	3
tt0068807	tt0212699	7	30
tt0068819	tt0212699	8	16
tt0068823	tt0068093	1	0
tt0068824	tt28029918	2	2
tt0068829	tt0165593	7	8
tt0068886	tt0212699	8	2
tt0068896	tt0165593	8	4
tt0068905	tt0165592	3	4
tt0068937	tt0165593	7	7
tt0068946	tt0212699	7	29
tt0068949	tt0165593	8	1
tt0068975	tt0068527	1	1
tt0068977	tt2162303	\N	\N
tt0069023	tt0212699	7	16
tt0069040	tt0797756	1	13
tt0069070	tt2162303	\N	\N
tt0069071	tt0212699	7	19
tt0069163	tt0806910	1	22
tt0069176	tt0165592	3	1
tt0069193	tt0068126	1	0
tt0069274	tt0423738	1	3
tt0069275	tt0423738	1	1
tt0069285	tt0222545	1	5
tt0069288	tt0069633	1	0
tt0069313	tt0165592	2	11
tt0069323	tt0068135	1	0
tt0069346	tt0806910	1	24
tt0069347	tt0806910	1	21
tt0069348	tt0806910	1	19
tt0069349	tt0806910	1	25
tt0069357	tt0069643	1	0
tt0069367	tt1414347	1	4
tt0069376	tt0212699	8	4
tt0069388	tt0797756	1	14
tt0069399	tt7525698	\N	\N
tt0069402	tt1414347	1	2
tt0069440	tt0212699	7	17
tt0069480	tt0046593	17	4
tt0069512	tt0222545	1	7
tt0069610	tt0174434	1	4
tt0069673	tt0212699	8	32
tt0069675	tt0165592	3	19
tt0069680	tt0165593	8	5
tt0069767	tt1695587	\N	\N
tt0069777	tt10303278	\N	\N
tt0069802	tt0797756	1	16
tt0069839	tt0165593	8	6
tt0069857	tt0297621	6	9
tt0069858	tt0165593	8	8
tt0069868	tt0069572	1	0
tt0069900	tt1466074	2	6
tt0069901	tt1466074	3	2
tt0069902	tt1466074	3	3
tt0069903	tt1466074	3	4
tt0069904	tt1466074	2	8
tt0069905	tt1466074	3	1
tt0069906	tt1466074	2	7
tt0069910	tt0165593	9	2
tt0069931	tt0212699	8	29
tt0069940	tt0068527	1	7
tt0070019	tt0164295	1	4
tt0070043	tt0931193	1	1
tt0070044	tt0931193	1	2
tt0070045	tt0931193	1	3
tt0070073	tt0202206	1	2
tt0070117	tt0407366	1	6
tt0070123	tt0065296	4	4
tt0070153	tt0165592	3	20
tt0070161	tt0069589	1	0
tt0070171	tt0165592	4	2
tt0070226	tt0212699	8	22
tt0070247	tt0762803	1	2
tt0070324	tt0070977	2	1
tt0070330	tt0068527	1	8
tt0070333	tt0297621	5	20
tt0070353	tt0069606	1	0
tt0070360	tt0165592	3	21
tt0070385	tt0298709	1	5
tt0070440	tt1667703	1	2
tt0070441	tt1695587	\N	\N
tt0070476	tt1667703	1	3
tt0070480	tt0164295	2	4
tt0070482	tt0165592	3	16
tt0070494	tt0312084	1	3
tt0070542	tt1049986	1	1
tt0070546	tt0212699	8	21
tt0070551	tt0069620	1	0
tt0070577	tt0165593	9	4
tt0070597	tt0165593	9	3
tt0070611	tt0202179	2	1
tt0070612	tt0165593	8	7
tt0070711	tt0407366	1	5
tt0070715	tt0164295	1	3
tt0070717	tt0165592	3	15
tt0070725	tt0165592	3	22
tt0070732	tt0797756	1	17
tt0070745	tt0070993	1	0
tt0070776	tt0806910	1	29
tt0070777	tt0806910	1	34
tt0070786	tt0348892	1	17
tt0070799	tt0165592	3	24
tt0070816	tt0069646	1	0
tt0070824	tt0298709	1	3
tt0070925	tt0065327	2	18
tt0070958	tt1695587	\N	\N
tt0071074	tt0267198	1	7
tt0071119	tt0165592	4	11
tt0071158	tt0159876	49	27
tt0071191	tt0277509	2	1
tt0071195	tt0072470	1	0
tt0071217	tt0072543	1	1
tt0071223	tt0069633	1	4
tt0071246	tt0202179	3	2
tt0071264	tt0762803	1	3
tt0071302	tt0165593	9	5
tt0071313	tt0165592	4	21
tt0071343	tt0164295	2	6
tt0071345	tt1466074	3	8
tt0071346	tt1466074	4	3
tt0071347	tt1466074	3	6
tt0071348	tt1466074	4	2
tt0071349	tt1466074	3	5
tt0071350	tt1466074	2	5
tt0071351	tt1466074	3	7
tt0071393	tt0277509	2	2
tt0071403	tt0165593	9	7
tt0071461	tt0165593	10	2
tt0071501	tt0200358	8	8
tt0071546	tt0277509	2	4
tt0071551	tt0298665	8	1
tt0071570	tt0199214	3	1
tt0071574	tt0298665	8	3
tt0071656	tt0071012	1	0
tt0071659	tt1049986	2	1
tt0071669	tt1049986	1	12
tt0071683	tt0419311	1	4
tt0071697	tt0165592	4	12
tt0071759	tt0071007	1	0
tt0071781	tt0071008	1	0
tt0071810	tt0806910	1	46
tt0071823	tt1389029	1	2
tt0071869	tt1091486	1	10
tt0071876	tt0164295	4	3
tt0071881	tt1389029	1	3
tt0071894	tt0071017	1	0
tt0071903	tt0164295	6	2
tt0071912	tt0202206	\N	\N
tt0071924	tt0164295	3	6
tt0072072	tt0969783	1	2
tt0072091	tt0165593	10	4
tt0072093	tt0071042	1	0
tt0072121	tt0165592	4	20
tt0072127	tt0063920	6	11
tt0072138	tt0071056	1	0
tt0072164	tt1091486	1	11
tt0072175	tt0165593	9	8
tt0072203	tt0072567	1	0
tt0072258	tt0806910	1	36
tt0072259	tt0806910	1	41
tt0072283	tt0072576	1	0
tt0072341	tt0270780	1	3
tt0072420	tt0165593	10	3
tt0072458	tt0849411	\N	\N
tt0072465	tt0202206	\N	\N
tt0072593	tt0165592	6	4
tt0072654	tt0165593	10	5
tt0072660	tt1614886	1	6
tt0072683	tt0072471	1	1
tt0072686	tt10549352	\N	\N
tt0072688	tt1614886	1	5
tt0072702	tt0071325	1	18
tt0072715	tt0072478	1	0
tt0072733	tt0165592	5	20
tt0072738	tt0762803	2	1
tt0072741	tt0072481	1	0
tt0072743	tt1614886	1	1
tt0072755	tt10667296	1	2
tt0072796	tt0159876	\N	\N
tt0072800	tt1466074	5	2
tt0072801	tt1466074	4	6
tt0072802	tt1466074	4	1
tt0072803	tt1466074	5	1
tt0072804	tt1466074	5	3
tt0072805	tt1466074	4	5
tt0072806	tt1466074	4	4
tt0072808	tt0071325	1	3
tt0072815	tt0071325	1	6
tt0072907	tt10667296	1	1
tt0072929	tt0072496	1	0
tt0072997	tt1049986	2	12
tt0072998	tt0165592	5	21
tt0073007	tt0159876	\N	\N
tt0073032	tt0165592	5	8
tt0073048	tt0312084	3	4
tt0073060	tt0165592	5	14
tt0073062	tt0065296	5	14
tt0073065	tt1049986	2	19
tt0073153	tt1049986	3	3
tt0073154	tt1614886	1	2
tt0073175	tt0120958	1	1
tt0073176	tt0397818	1	1
tt0073178	tt0072515	1	0
tt0073189	tt0259806	6	4
tt0073217	tt1049986	2	18
tt0073228	tt0072526	1	0
tt0073245	tt0165593	10	7
tt0073256	tt0806910	1	58
tt0073288	tt0071325	1	22
tt0073300	tt0165593	11	2
tt0073313	tt0165593	11	3
tt0073355	tt0397818	1	2
tt0073361	tt0072542	1	0
tt0073374	tt0207281	1	3
tt0073408	tt0165592	6	3
tt0073409	tt0071325	1	23
tt0073412	tt0762803	2	2
tt0073423	tt0071325	1	24
tt0073449	tt0074074	1	1
tt0073481	tt0298685	1	4
tt0073484	tt0071325	1	9
tt0073531	tt0259806	4	4
tt0073587	tt0397818	1	3
tt0073606	tt0075471	1	6
tt0073617	tt1614886	1	4
tt0073642	tt0165592	6	10
tt0073648	tt1049986	2	2
tt0073667	tt0165593	10	6
tt0073677	tt0071054	3	17
tt0073740	tt0071325	1	7
tt0073745	tt10667296	1	4
tt0073748	tt1049986	2	16
tt0073757	tt0165593	10	8
tt0073763	tt1049986	2	7
tt0073777	tt0072574	1	0
tt0073789	tt0806910	1	52
tt0073790	tt0806910	1	55
tt0073805	tt0165592	6	8
tt0073821	tt1049986	2	6
tt0073828	tt0165592	6	2
tt0073890	tt0164295	4	6
tt0073912	tt0806910	1	50
tt0073938	tt0806910	1	51
tt0074088	tt0159876	\N	\N
tt0074171	tt0073961	1	0
tt0074182	tt0165592	7	1
tt0074255	tt0165592	7	7
tt0074261	tt0762803	3	4
tt0074301	tt0073972	1	0
